,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
std_FusionHeat,0.6281962446497161,0.9137196254644425,0.0,-0.6352692100010678,0.007168309483005129,7.475955446688874e-05
std_ThermalConductivity,0.7373064649364867,0.9138969355809928,0.0,-0.6678638563938407,-0.06936746648925311,-8.234848382272095e-05
std_Valence,0.4736598255535627,0.913782351025604,0.0,-0.4790154039153016,0.005285276237414743,0.00017768024928304952
std_atomic_mass,0.5999956964925596,0.913798170413146,0.0,-0.5754712835459336,-0.024552896126395274,0.00012004191718613407
std_atomic_radius,0.6706864984715062,0.9135411582967736,0.0,-0.632375249158605,-0.0379257816168489,-3.689684226299426e-05
std_fie,0.7101835408084591,0.9137383251706207,0.0,-0.6861947307779744,-0.023845211980980618,7.805930438086031e-06
wtd_entropy_Density,0.3338845692015349,0.913474243289988,0.0,-0.3537930711829455,0.020309106411933876,1.4881430051581803e-05
wtd_entropy_ElectronAffinity,0.2748277308435043,0.9137761664641069,0.0,-0.2858281228419709,0.011070225016882186,4.3729668040517484e-05
wtd_entropy_FusionHeat,0.4643453964561764,0.913994662471213,0.0,-0.43476788909634906,-0.029681933122636832,-5.075578406862254e-07
wtd_entropy_ThermalConductivity,0.29859354216339173,0.9132808501416153,0.0,-0.29569146877219465,-0.0022936069840582677,4.1260180869211594e-07
wtd_entropy_Valence,0.5542549122115202,0.9135371640579376,0.0,-0.5273668921054747,-0.02674861749307653,0.00021316247965636143
wtd_entropy_atomic_mass,0.5468944553739977,0.9133661681987549,0.0,-0.5212223006814551,-0.02532892334185529,0.00018032960112050072
wtd_entropy_atomic_radius,0.5187418746635852,0.913406577759458,0.0,-0.5082239694680992,-0.010267675054423095,0.0002329212500419165
wtd_entropy_fie,0.375052372907309,0.9135899903199568,0.0,-0.37487573124038553,4.9659699828021874e-05,7.343746385456966e-05
wtd_gmean_Density,0.60806701735961,0.9138967808729197,0.0,-0.5900505252844964,-0.018148322194171826,0.0001247783967014995
wtd_gmean_ElectronAffinity,0.3064326062450144,0.9136970860010813,0.0,-0.3005042383417336,-0.005584267657460216,-0.00015145709633906002
wtd_gmean_FusionHeat,0.5758274498689573,0.9138872236345641,0.0,-0.5595715691727347,-0.01628938205062304,3.600687039937514e-05
wtd_gmean_ThermalConductivity,0.48138005650218296,0.9137703762251582,0.0,-0.4701420074690512,-0.01101213674956925,-0.000106559358157744
wtd_gmean_Valence,0.6498605667525594,0.9140485059825694,0.0,-0.5448516045668486,-0.10496256898641376,-0.00020517003130340558
wtd_gmean_atomic_mass,0.40430184020881593,0.9139928076250143,0.0,-0.38989829367670004,-0.014380269990986908,-0.00012635501558051602
