,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
mean_Valence,0.018372729105985603,0.0048965178003750115,0.0,0.018179496133055705,0.0017540250402288081,0.0001295339299387345
mean_atomic_mass,0.014614055011016053,0.004603415294787204,0.0,0.014321093668277792,0.0014369452899529948,0.0002350525908574135
mean_atomic_radius,0.019055303351304145,0.005250286104584406,0.0,0.01902483697606187,0.0016090331236944416,0.0003812602011966468
mean_fie,0.012416889571918594,0.004471199092576656,0.0,0.012040686592013738,0.0005985025569087535,4.9549491210168586e-05
number_of_elements,0.012593020480402858,0.004734156015372637,0.0,0.01224062114552933,0.001469327120078644,9.888145392936895e-05
range_Density,0.014059942237346438,0.004633600470167476,0.0,0.012584141632453423,0.0027205553876383797,0.00012190228007286265
range_ElectronAffinity,0.016889178866638325,0.004563267438105124,0.0,0.016714481984188952,0.0014249615140336587,4.693707872811784e-05
range_FusionHeat,0.012859758730464006,0.005071708887602936,0.0,0.01430199040754385,0.0013324134626182306,4.4669473173540547e-05
range_ThermalConductivity,0.0147364451202704,0.0049688358977787615,0.0,0.016640263806551297,0.0042424330466951325,6.937935867792768e-05
range_Valence,0.007195816477344075,0.004742506767402242,0.0,0.007774671561305682,0.000598845496486974,9.484908552196473e-05
range_atomic_mass,0.016469120086000384,0.004503688537534785,0.0,0.015380738721308917,0.001973712287480446,0.00020013873899286732
range_atomic_radius,0.01592842127255198,0.0044441280749597835,0.0,0.015277689809781773,0.0026494780822194828,0.00041129992001875395
range_fie,0.018422774986232005,0.004435961446119162,0.0,0.017909081685178543,0.0030867779599281914,0.0001459925263844396
std_Density,0.017821584561972782,0.004991617682288967,0.0,0.017407831418507047,0.0025981628261575905,0.00019700991518751927
std_ElectronAffinity,0.016481877553594287,0.004180149036644174,0.0,0.017305916438840423,0.0016784435446361493,5.760847133625666e-05
std_FusionHeat,0.017015784656898167,0.00472403708160719,0.0,0.018266215031963833,0.001473500447074686,0.00020006796330566788
std_ThermalConductivity,0.010902498343419158,0.004533905124331925,0.0,0.012187969072408466,0.00289993413381231,0.00041042185169632274
std_Valence,0.018153653161815938,0.004685816997319761,0.0,0.01774827984282181,0.0009686804508639207,0.00034198395724501114
std_atomic_mass,0.013366487067288617,0.004469432400201243,0.0,0.011000005355198225,0.0029270555103775887,0.00033394550042354997
std_atomic_radius,0.011321796885160714,0.0046471224378362465,0.0,0.012465248230243076,0.0022775865265204738,0.000464547458697814
std_fie,0.015425389296769045,0.0048755040571388086,0.0,0.015061655681478457,0.0015752322454715261,4.2123036220903985e-05
wtd_entropy_Density,0.009858905531947598,0.004994434587123712,0.0,0.012316444560981365,0.0025499530583376227,0.00024393524459865798
wtd_entropy_ElectronAffinity,0.018660079276106675,0.004465070360932919,0.0,0.019136455723594622,0.0011401966180107624,0.0002753274194311052
wtd_entropy_FusionHeat,0.017017837476930555,0.0049582952871352805,0.0,0.017305805397111497,0.002079753014638453,0.00031817974348073404
wtd_entropy_ThermalConductivity,0.015194419639738053,0.004869621299125029,0.0,0.016068693749263886,0.0022981012312003014,2.694452072783129e-05
wtd_entropy_Valence,0.021588348890338904,0.004694057798100982,0.0,0.02199487946233088,0.0017204126495027124,0.0005720335088898738
wtd_entropy_atomic_mass,0.020183337785881925,0.00494886004831715,0.0,0.020541979935325874,0.0025700501709003797,0.00021702189771395246
wtd_entropy_atomic_radius,0.01958755522079198,0.005285242024778163,0.0,0.01773168437045554,0.0024663815638736437,0.0004998377987575644
wtd_entropy_fie,0.017981130870990562,0.00432765987390139,0.0,0.017658970488433894,0.0014682485268563933,0.00041038122250880156
wtd_gmean_Density,0.019840030815204465,0.004767182004474433,0.0,0.018510468270813915,0.0015983810444649884,0.0003821538146153809
wtd_gmean_ElectronAffinity,0.019139563362117133,0.004532780974417213,0.0,0.01922260729741857,0.00177891155430888,0.0004349888483118596
wtd_gmean_FusionHeat,0.028697648883036345,0.004906191244722646,0.0,0.02744010992063126,0.002274983149493311,0.0004244123367845203
wtd_gmean_ThermalConductivity,0.028816189862224294,0.004582576748322141,0.0,0.02829936143243746,0.002833094930537838,0.0002251835270620701
wtd_gmean_Valence,0.01650097324546651,0.004878407866285839,0.0,0.015381292528665156,0.006108465436505164,0.0010243528331503175
wtd_gmean_atomic_mass,0.024809803696542856,0.00496045713372305,0.0,0.023418987364432486,0.0022322327384547824,0.00024900327642238945
wtd_gmean_atomic_radius,0.014641736868559404,0.004864701729105746,0.0,0.014306644203380877,0.00215778513310128,0.00040319784079309367
wtd_gmean_fie,0.01747441014381483,0.004614945070003488,0.0,0.018637988169448005,0.002334235879812851,0.0002007607399633977
wtd_mean_Density,0.018266492222408216,0.004716857365861855,0.0,0.019522548530854188,0.002605122587294513,0.0004665396535883075
wtd_mean_ElectronAffinity,0.01661250151154835,0.0046627634826656925,0.0,0.015942042109727213,0.0014552058706334833,0.0005094619135300698
wtd_mean_FusionHeat,0.02020076278611511,0.0044153888098586655,0.0,0.020187662920865268,0.001426767701581025,0.00047795122345314645
wtd_mean_ThermalConductivity,0.019593855676183203,0.0055611670376415085,0.0,0.020538262133299734,0.002561415524308697,0.0010465682602701055
wtd_mean_Valence,0.017182890787390714,0.004635134672607713,0.0,0.02030697776207428,0.0055711213496774,0.0008225111050900182
wtd_mean_atomic_mass,0.019711134855720513,0.00472174502173687,0.0,0.02066433375358015,0.0014985272047341781,0.00048226270401340515
wtd_mean_atomic_radius,0.016360502410941682,0.0049652152951325836,0.0,0.016266670348669375,0.0016109405333618427,0.00038916413004468244
wtd_mean_fie,0.01959056031660489,0.004530122074017107,0.0,0.0190780443131364,0.0019454340871952929,0.00026908739672796693
wtd_range_Density,0.016344172286899227,0.005183586603480852,0.0,0.015601706189444483,0.0025366437908356655,0.00014645173087191905
wtd_range_ElectronAffinity,0.017233136589583486,0.004945301363556192,0.0,0.017428598203536295,0.0029426325352623997,9.25634770188863e-05
wtd_range_FusionHeat,0.030535430971922777,0.004808683758600908,0.0,0.03070004569660881,0.0024813681919175433,0.00015860567125377566
