,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
max_negative_polarity,0.0016288577039891648,0.02943589539699295,0.0,-0.0010016752724441905,-0.00034128544728046113,0.00017842769639276663
max_positive_polarity,0.0011729781580051741,0.029846696466600358,0.0,-0.0011946860606222283,-0.00027064794073455454,4.802191018357165e-05
min_negative_polarity,0.0009143260816488712,0.029711396661410337,0.0,-0.0005878742249291963,-0.0002228624081602054,2.1088825518108108e-05
min_positive_polarity,0.0007692333474675249,0.029506004420691845,0.0,-0.0006760988758429901,0.00017352051503559843,1.5474544831820028e-05
n_non_stop_unique_tokens,0.0003433259891646962,0.02952606427358167,0.0,7.607394064350814e-05,-0.0004076651182568127,0.0001977959746015735
n_non_stop_words,0.0008071710983818051,0.029438413835224025,0.0,-0.0001632370385998393,-0.0003720050442248226,4.550674290163865e-05
n_tokens_content,0.001896712218921259,0.029460075947698987,0.0,-0.0012842995193385865,-0.0004937417977116689,9.960459755001539e-05
n_tokens_title,8.461159811170356e-06,0.029280081825936482,0.0,0.00032014301669544673,0.0001163769074620031,1.943723919848702e-05
n_unique_tokens,0.0009928480697013657,0.029525128511021577,0.0,-0.00042887350025367374,-0.0003763772030123573,0.0004024024712930765
num_hrefs,0.004741659684435397,0.029153290069401643,0.0,-0.0032435273975633403,-0.001226799789375644,0.00029326233144348445
num_imgs,0.008010531726964937,0.02952144885276613,0.0,-0.006725140378222601,-0.0011894641870065412,5.315100998137763e-05
num_keywords,0.0007492126354957882,0.029634803904025276,0.0,-0.0004006973459000092,-0.00037070260415087716,2.9972851257863414e-05
num_self_hrefs,0.0005607492207717571,0.02942020406995441,0.0,-0.00037964570849396756,0.0001772473734736802,3.293855831393446e-05
num_videos,0.003983448022795063,0.029034341751578246,0.0,-0.0032047615535211447,-0.000368397042723184,0.0002351373009277918
rate_negative_words,-8.415964313460568e-05,0.02951896982123351,0.0,0.00016014309696170135,-8.469391245497662e-06,2.227442237765799e-05
rate_positive_words,0.00042647255338886246,0.029563647931776637,0.0,-0.00030722589500684555,-6.49583317936347e-05,9.280325478670644e-06
self_reference_avg_sharess,0.011580044641494154,0.02959838730348105,0.0,-0.005435684258200646,-0.005842197128872148,7.893405425184636e-06
self_reference_max_shares,0.007951265495598001,0.029754280985898517,0.0,-0.004093405631558014,-0.0038787536042733,0.00025034756790412677
self_reference_min_shares,0.004972847911548572,0.029478989706076673,0.0,-0.0012134058133762703,-0.0034530086613802644,0.00013022127801861353
title_sentiment_polarity,0.0012452105964819468,0.02927830682969145,0.0,-0.0006068521805493214,-0.0002246844945990136,8.223112234497182e-05
title_subjectivity,0.0009225392830204652,0.0293950057235425,0.0,-0.0005324462097162062,-0.00018511129344827836,5.95736896349344e-05
weekday_is_friday,2.8464589921749793e-05,0.029642276024339498,0.0,-9.182168095883862e-05,-8.278345818687078e-06,1.1803532487683503e-05
weekday_is_monday,0.00021126719065291195,0.029250606642732095,0.0,0.00015002311623948337,2.8368309551110625e-05,6.630343017323165e-05
weekday_is_saturday,0.0002947002082958179,0.029518211432438872,0.0,-8.741684256188391e-05,-0.00015695360805082149,1.5093649153810027e-05
weekday_is_sunday,0.00010459225895595564,0.029358572288530137,0.0,0.000128596025484559,-1.2864408660354589e-05,6.446632215227358e-06
weekday_is_thursday,7.313510371290572e-05,0.02950262472739425,0.0,6.179568029340276e-05,-5.360197707204871e-05,8.236002677290204e-06
weekday_is_tuesday,0.000167158551123512,0.029410861629410277,0.0,3.193697367908632e-05,-3.291273038078516e-05,7.669805627785648e-06
weekday_is_wednesday,0.00011252938249315643,0.02960675451526155,0.0,-7.448243159395614e-05,-5.151730836551101e-06,8.393261213809464e-06
